Company	Full address	Street	City	State	Code
Exposition Cotton Mills	,Atlanta,GA		Atlanta	GA	6
F. C. Nunemacher	436 West Main street,Louisville,KY	436 West Main street	Louisville	KY	6
F. E. Atteaux & Company Incorporated	174-176 Purchase street,Boston,MA	174-176 Purchase street	Boston	MA	6
F. E. Myers & Bro.	,Ashland,OH		Ashland	OH	6
F. H. Koretke Brass and Manufacturing Company Ltd	922-924 Magazine street ,New Orleans,LA	922-924 Magazine street 	New Orleans	LA	6
F. H. Logeman Chair Manufacturing Company	2000 North Main street,St Louis,MO	2000 North Main street	St Louis	MO	6
F. L. & J. C. Codman	K and First streets,South Boston,MA	K and First streets	South Boston	MA	6
F. S. Webster Company	332 Congress street,Boston,MA	332 Congress street	Boston	MA	6
F. X. Ganter	Leadenhall and Stockholm streets,Baltimore,MD	Leadenhall and Stockholm streets	Baltimore	MD	6
Falulah Paper Company	229 Main street,Fitchburg,MA	229 Main street	Fitchburg	MA	6
Farrand Organ Company	Twelfth street,Detroit,MI	Twelfth street	Detroit	MI	6
Farrar & Trefts	60 Perry street,Buffalo,NY	60 Perry street	Buffalo	NY	6
Farwell Ozmun Kirk & Company	,St Paul,MN		St Paul	MN	6
Feige Desk Company	2061 Genesee avenue,Saginaw,MI	2061 Genesee avenue	Saginaw	MI	6
Fellows & Company	,Troy,NY		Troy	NY	6
Fels & Company	Seventy-third street and Woodland avenue,Philadelphia,PA	Seventy-third street and Woodland avenue	Philadelphia	PA	6
Ferd. Haak	,Davenport,IA		Davenport	IA	6
Ferguson Bros. Manufacturing Company	Eighth and Jackson streets,Hoboken,NJ	Eighth and Jackson streets	Hoboken	NJ	6
Fiebrich Fox Hilker Shoe Company	West and Garfield streets,Racine,WI	West and Garfield streets	Racine	WI	6
Findeisen & Kropf Manufacturing Company	Twenty-first and Rockwell streets,Chicago,IL	Twenty-first and Rockwell streets	Chicago	IL	6
Fiske Brothers Refining Company	13-15 Old Slip,New York,NY	13-15 Old Slip	New York	NY	6
Florence Pump and Lumber Company	,Memphis,TN		Memphis	TN	6
Florence Wagon Works	,Florence,AL		Florence	AL	6
Foley & Williams Manufacturing Company	46 Jackson boulevard,Chicago,IL	46 Jackson boulevard	Chicago	IL	6
Folwell Bro. & Company Incorporated	625 Chestnut street,Philadelphia,PA	625 Chestnut street	Philadelphia	PA	6
Ford Morocco Company	136 Summer street,Boston,MA	136 Summer street	Boston	MA	6
Fort Miller Pulp and Paper Company	,Fort Miller,NY		Fort Miller	NY	6
Fort Wayne Electric Works Inc	,Fort Wayne,IN		Fort Wayne	IN	6
Foster Rubber Company	370 Atlantic avenue,Boston,MA	370 Atlantic avenue	Boston	MA	6
Foster-Lotbman Mills	,Oshkosh,WI		Oshkosh	WI	6
Francis Beidler & Co	West Twenty-second and Loomis streets,Chicago,IL	West Twenty-second and Loomis streets	Chicago	IL	6
Francis H. Leggett & Company	West Broadway,New York,NY	West Broadway	New York	NY	6
Frank Howard Manufacturing Company	,Atchison,KS		Atchison	KS	6
Frank Prox Company	205 North Ninth street,Terre Haute,IN	205 North Ninth street	Terre Haute	IN	6
Franklin Mills Company	,Lockport,NY		Lockport	NY	6
Franklin Stone Company	,Marble Cliff,OH		Marble Cliff	OH	6
Franklm Hudson Publishing Company	1014 Wyandotte street,Kansas City,MO	1014 Wyandotte street	Kansas City	MO	6
Fred. F. Field Company	Emerson avenue,Brockton,MA	Emerson avenue	Brockton	MA	6
Freiberg & Workum	216 East Front street,Cincinnati,OH	216 East Front street	Cincinnati	OH	6
Fuller & Rice Lumber and Manufacturing Company	,Grand Rapids,MI		Grand Rapids	MI	6
Fuller Buggy Company	,Jackson,MI		Jackson	MI	6
G & J Tire Company	549 East Georgia street,Indianapolis,IN	549 East Georgia street	Indianapolis	IN	6
G. B. Rommel	,Pittston,PA		Pittston	PA	6
G. H. Tilton & Son	,Tilton,NH		Tilton	NH	6
G. P. Crafts	,Manchester,NH		Manchester	NH	6
G. WV Alexander & Company	,Reading,PA		Reading	PA	6
Gaar Scott & Company	,Richmond,IN		Richmond	IN	6
Gager Lime and Manufacturing Company	,Chattanooga,TN		Chattanooga	TN	6
